Q1_Unternehmensgroesse,Q2_Branche,Q3_Familienbesitz,Q4_WerteIntegration,Q5_WerteEffektivitaet,Q6_EthikReviewHaeufigkeit,Q7_ComplianceEinhaltung,Q8_PersoenlicherEinfluss,Q9_Konflikthaeufigkeit,Q10_Konfliktmanagement,Q11_Transparenz,Q12_RichtlinienFormalisierung,Q13_RichtlinienDurchsetzungsEffekt,Q14_RichtlinienUpdateHaeufigkeit,Q15_Mitarbeiterbeteiligung
3,5,1,4,4,4,4,2,2,5,5,4,4,5,3
3,2,1,5,5,3,4,3,2,4,4,4,4,2,3
3,5,1,4,4,3,5,2,3,4,4,3,4,5,4
2,1,2,5,5,4,4,2,2,5,4,4,4,3,3
2,3,1,4,5,5,5,3,3,3,3,3,4,2,2
2,3,2,3,3,3,4,1,2,5,5,5,5,5,4
3,4,1,5,5,4,3,3,3,3,3,3,3,2,2
3,2,2,3,3,2,5,1,1,5,5,5,5,4,4
3,4,2,3,3,3,5,2,2,5,5,5,5,5,4
2,4,2,3,3,3,5,1,1,5,5,5,5,4,3
2,2,1,5,5,4,4,3,3,4,4,3,4,2,2
1,5,2,3,2,3,3,3,2,3,3,3,4,2,3
3,1,1,5,5,5,4,2,2,5,5,4,4,3,3
3,1,2,3,3,3,5,2,2,5,5,5,5,5,5
1,3,1,4,3,3,5,2,2,5,5,4,4,2,2
2,1,2,3,3,3,5,3,2,5,5,5,5,5,3
2,1,1,5,4,4,3,3,3,3,3,3,4,2,2
3,3,1,4,4,5,3,3,3,3,3,3,3,2,2
2,1,1,4,4,5,4,2,2,4,4,4,4,3,3
3,4,1,4,4,4,4,2,2,4,4,4,4,2,4
2,3,2,3,3,3,5,1,1,5,5,5,5,5,4
2,4,1,4,5,5,4,3,3,3,3,3,4,2,4
3,4,1,4,5,4,4,3,2,3,4,3,4,2,4
1,3,1,4,3,3,4,3,2,4,4,3,4,2,2
3,3,2,4,3,3,5,1,1,5,5,5,5,5,5
2,1,2,3,3,3,4,1,1,4,4,5,4,3,4
3,1,1,5,4,5,4,2,3,3,3,3,4,2,4
3,4,2,3,4,3,5,1,1,5,5,5,5,5,3
2,3,2,3,4,4,4,1,1,5,5,4,4,4,3
2,2,1,4,4,4,3,3,3,3,4,3,4,3,4
1,1,1,5,5,5,4,3,3,4,4,3,4,2,4
2,3,2,3,4,3,4,1,2,5,5,4,4,3,2
2,3,2,3,3,3,4,2,1,4,4,4,4,3,2
3,4,1,5,5,5,5,2,2,5,5,4,5,3,5
2,3,1,4,4,4,3,2,3,3,3,3,4,2,4
2,2,1,4,4,4,4,2,2,4,4,4,4,3,4
2,1,2,3,3,3,5,1,1,5,5,5,5,5,2
2,3,1,4,4,4,3,3,3,3,3,3,4,2,4
2,3,2,3,3,3,5,1,1,5,5,5,5,5,2
3,2,1,4,4,4,3,3,3,3,3,3,3,2,4
2,1,2,3,3,3,5,1,1,5,5,5,5,4,3
2,3,1,4,4,4,3,2,2,4,4,3,4,3,4
3,2,1,5,5,5,4,2,3,4,3,3,4,2,4
3,1,2,2,2,3,5,1,1,5,5,5,5,5,2
3,4,1,5,5,5,3,3,3,4,3,3,3,2,4
1,2,1,4,4,4,2,3,4,2,3,3,3,2,4
1,3,2,3,3,4,4,2,2,5,5,5,4,3,2
2,4,1,4,4,4,4,2,3,3,4,3,4,2,4
3,1,1,4,4,5,4,2,2,4,4,4,4,3,4
3,2,2,3,3,3,4,1,1,5,5,5,5,5,2
2,2,2,3,3,3,4,1,1,4,5,4,4,3,2
2,3,1,4,4,4,3,3,3,3,3,3,4,2,4
